City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Adrar,MR,2022-11-21 19:14:26,20.5022,-10.0711,73.31,15,0,11.81
284,Khipro,PK,2022-11-21 19:14:26,25.8285,69.3772,73.24,29,0,5.77
285,Chirongui,YT,2022-11-21 19:14:26,-12.9319,45.1483,78.73,76,7,3.31
286,Nalut,LY,2022-11-21 19:14:27,30.3333,10.85,53.46,39,0,6.35
287,Kumbo,CM,2022-11-21 19:14:27,6.2,10.6667,62.08,61,95,5.06
288,Matara,LK,2022-11-21 19:14:27,5.9485,80.5353,75.61,83,76,6.17
289,Kruisfontein,ZA,2022-11-21 19:14:28,-34.0033,24.7314,65.88,82,68,7.23
290,Urumqi,CN,2022-11-21 19:14:28,43.801,87.6005,27.55,86,0,2.24
291,Areka,ET,2022-11-21 19:14:29,7.0667,37.7,64.26,49,43,7.4
292,Quatre Cocos,MU,2022-11-21 19:14:29,-20.2078,57.7625,75.09,73,1,7.87
